Player,N,X
1810,620,0.374193548
6522,326,0.411042945
6527,330,0.406060606
6567,341,0.395894428
10809,410,0.387804878
12510,750,0.364
12716,843,0.402135231
19803,434,0.357142857
19846,609,0.451559934
20104,543,0.386740331
20157,391,0.381074169
20229,711,0.399437412
20472,579,0.386873921
20572,581,0.356282272
20593,589,0.46179966
20691,306,0.359477124
20771,463,0.388768898
21209,426,0.396713615
21528,315,0.419047619
21961,625,0.4304
22046,615,0.369105691
22056,517,0.369439072
22371,404,0.445544554
22405,474,0.383966245
22986,337,0.421364985
23108,704,0.419034091
23320,458,0.371179039
23325,681,0.395007342
23353,696,0.354885057
23497,471,0.392781316
23541,636,0.411949686
23621,483,0.399585921
23800,557,0.423698384
23983,395,0.432911392
24024,621,0.444444444
24138,513,0.442495127
24140,611,0.387888707
24357,504,0.436507937
24358,541,0.386321627
24361,661,0.419062027
24502,368,0.388586957
24507,559,0.375670841
24781,525,0.39047619
24846,704,0.416193182
24912,304,0.401315789
24924,653,0.382848392
25191,408,0.43627451
25198,530,0.373584906
25240,511,0.387475538
25274,400,0.4275
25345,467,0.404710921
25349,435,0.404597701
25364,647,0.404945904
25396,603,0.44278607
25493,749,0.389853138
25572,439,0.423690205
25632,464,0.459051724
25686,688,0.427325581
25720,492,0.43699187
25804,517,0.419729207
25818,452,0.400442478
25834,737,0.409769335
25892,354,0.43220339
25900,783,0.378033206
26289,557,0.378815081
26300,475,0.416842105
26329,504,0.410714286
26331,442,0.441176471
26476,753,0.403718459
26499,426,0.429577465
26596,597,0.391959799
26758,655,0.386259542
26851,656,0.400914634
26951,524,0.429389313
27064,670,0.364179104
27095,588,0.37755102
27129,754,0.396551724
27141,583,0.421955403
27214,703,0.374110953
27436,654,0.370030581
27466,609,0.374384236
27644,788,0.459390863
27649,391,0.452685422
27770,566,0.427561837
27895,545,0.47706422
27936,633,0.40600316
27958,750,0.401333333
27963,451,0.423503326
27974,731,0.399452804
28089,498,0.447791165
28093,396,0.396464646
28132,732,0.389344262
28237,331,0.398791541
28252,609,0.433497537
28307,544,0.4375
28420,586,0.38225256
28500,610,0.321311475
28679,460,0.4
29221,754,0.421750663
29222,604,0.400662252
29223,553,0.441229656
29289,666,0.453453453
29420,719,0.379694019
29461,713,0.417952314
29476,681,0.364170338
29478,725,0.416551724
29479,715,0.412587413
29485,511,0.365949119
29518,661,0.381240545
29720,515,0.411650485
29725,820,0.384146341
29740,369,0.382113821
29908,688,0.379360465
29926,694,0.412103746
29974,467,0.368308351
30110,862,0.39675174
30191,477,0.438155136
30692,610,0.359016393
30852,377,0.445623342
30925,541,0.404805915
30926,632,0.373417722
30944,729,0.382716049
31202,676,0.375739645
31323,623,0.401284109
31416,566,0.395759717
31420,518,0.432432432
31557,597,0.373534338
31560,633,0.380726698
31646,603,0.361525705
32102,569,0.448154657
32150,416,0.442307692
32200,492,0.426829268
32333,681,0.40969163
32366,666,0.418918919
32448,716,0.399441341
32640,638,0.398119122
32757,660,0.396969697
32839,572,0.402097902
33120,370,0.391891892
33122,516,0.374031008
33141,817,0.41370869
33204,360,0.413888889
33399,698,0.462750716
33413,637,0.37833595
33418,538,0.355018587
33419,584,0.40239726
33448,624,0.455128205
33461,750,0.428
33948,540,0.383333333
34021,750,0.377333333
34046,651,0.414746544
34076,304,0.361842105
34098,766,0.38772846
34099,657,0.414003044
34174,671,0.402384501
34213,768,0.3984375
34264,704,0.376420455
34358,473,0.397463002
34360,789,0.442332066
34409,635,0.437795276
34431,774,0.403100775
34466,652,0.424846626
35110,379,0.424802111
35300,434,0.366359447
35450,431,0.382830626
35506,859,0.417927823
35532,370,0.432432432
35545,603,0.426202322
35879,605,0.395041322
35891,648,0.438271605
36689,635,0.431496063
36699,595,0.379831933
36801,557,0.359066427
37189,769,0.374512354
37278,388,0.43814433
37454,558,0.415770609
37455,568,0.415492958
39324,652,0.371165644
39954,622,0.400321543
39975,769,0.391417425
40009,503,0.435387674
40026,640,0.43125
40058,727,0.42778542
46440,566,0.395759717
46443,372,0.408602151
46501,729,0.378600823
46507,327,0.351681957
46550,633,0.385466035
46601,631,0.399366086
46732,336,0.407738095
46970,598,0.387959866
47128,564,0.381205674
47959,654,0.382262997
48081,684,0.412280702
48084,700,0.467142857
48822,339,0.412979351
49771,671,0.397913562